address,uwu
unicorn1qqyl24rxge02cgkqnq4p2340s28kdd89zld79f,22900000000
unicorn1qqxm5thy3xjwwmz8re26d6kdme9y60jfrzhag3,2150000000
unicorn1qq856jck3gcqax4jsu3pdqa5kxjc3smysgyjm3,10000000000
unicorn1qq2ykjexxu3xh25lr9yktf2gxdw75mg8wfvkns,1000000
unicorn1qqs959pype5xexrd5gkvw0p8yskga3vg9amm7f,37300000000
unicorn1qqkjdgguw6y0ljfmrw6nn50mgagk7jm7c9euwl,20000000000
unicorn1qqkcc2l8emhrasal3ae8ekzf0awa7scz78a47m,13230000000
unicorn1qpp674fu9pnlslug6lutd30qycr59v2tjwtf6r,16350000000
unicorn1qpz75dytuvwlfhjcrdmfjxyeejjcfku75zh94s,27041000000
unicorn1qp93zxm07c4p4jdgwu4dg8608amnk0fp7x8h6w,1000000000
unicorn1qpgcpr5s44xqcw67fjkzaxr7ygrdrmp0cxkf3c,5301000000
unicorn1qp2pj6klreknskjuf6kf8flsk20j00cpy6etqt,5619000000
unicorn1qptp2hntwecfcyjwxyr8cngmjl9fmfc65f4cpg,100100000000
unicorn1qp59nq03fvvwxdyujh60a5kucdezgrwd6jswmt,9173251586
unicorn1qp59k44d9338qqc2vx4cc8rm0tnfwwvhtr3uz0,351145000000
unicorn1qpmlcdjun6ya06e8snj4anfeczldkpdptw9tsn,1003000000
unicorn1qzgwjf24vgvlwgaz3f94kwvc8jl43q7eu7mxa3,1877000000
unicorn1qz2lp0m5w24dpr8r8wuj265k0fsk5zpn5gsgud,33333000000
unicorn1qzdqyfwv4qe9pgkdp5drfla3na23sn960hnw7z,3850000000
unicorn1qzu34xw9hh5jndqsex73gydjnr5ck6gjv3pcu2,1010000000
unicorn1qrqtu2jdqartxa2nhjsx2gh5yl8nsquqk0al8e,21500000000
unicorn1qrzd0s2xx83ruuvaxz6svvlmanau63fvkhu9jt,5782143604
unicorn1qrznmwm5zx77pqzswz9l3dw3vneznumhw6uesj,804000000
unicorn1qrz76vnffcwdmfkcfvg7e94agfw6yzegzjez8f,21562000000
unicorn1qrr9238a4ka6q8cd0vkczu62425szekcptfdvz,31745000000
unicorn1qrrxkj7yq3f7t8cxv72ryw3ymf4gdxxh4guz7d,714000000
unicorn1qrwhe856nflwen0cwg3dkzk036zv48lww4fw9x,5000000000
unicorn1qrshhx7rf49d0wgtfx0r5rwsjlppnz0x7sr24m,10420000000
unicorn1qr3z4jqgv2t9mawekhrut44025lcz87dx5dtxx,27000000000
unicorn1qr5vq4ql0uv8q04et8rxaqu9hmhqpashea3tk8,10000000000
unicorn1qr554ryfnkvk2h2p2a5zw5jv4u53rrx0clpq40,2500000000
unicorn1qrk3546fp8lkgtvehkhjpjkkszr3mhpuetngnx,90882000000
unicorn1qrhzrv0rgpk09qvg0ejazwr45dz4q9jxjtsl8y,6542175277
unicorn1qrh9q5lht3qwpyv0m9knefzjntu3f5sx6ctakv,225003000000
unicorn1qrmjzacxz55j3j5ylq6839xacdy3cm6eyxjd3r,64000000000
unicorn1qr7trww6dgz3ksl22xyfqk053axtspg229lqpv,800000000
unicorn1qytwdanngzmp0q47es0437e4w3c6we9cmjurra,4417000000
unicorn1qyt55k85cegzr9c6z4j8pkuptaygda9hdt7jml,10000000000
unicorn1qy03f3cwmzh65228awgnd0awhhe0kgufslh9ds,1109000000
unicorn1qy4k3f7ywvg534933wm75vpzuag3rwpf5axk7r,789301666840
unicorn1qyewh5gytgmcdeg7c5vvpwhkcdd2he7urxt7ky,159521810
unicorn1qyah6a4vf47rtenajd8wpwhpfxmpjjg274ekf8,23729000000
unicorn1q9qrlpl4alua4l3lqn4gt2gyut4avsxr5dvwv7,920000000
unicorn1q9xq3saqdj96v7kcl9szv539xphj2e055wgc3t,2500006597
unicorn1q9fjfqwfxe62uvrnmy68lhmcre0k8p6wesefw7,1939000000
unicorn1q9f7jtcc6gqdavn4hpsyv0vm34692pwmxpqy22,5500000000
unicorn1q9j8v27pjkc270tvsam734p629ly5hvq8atunk,10000000000
unicorn1q9hx5gjxhzhhyfwwdk8r8kq4mp4yf03t7xy0pr,52920000000
unicorn1q9cxkggmm93lfqp9a0uxr03wmt24tfthl5u8qp,35000000000
unicorn1q9ezvhxupm75hxau6rdsynasluz48fpxr7ppgk,50000000000
unicorn1q9urr92mhcy88axsn4u6yj89rv4xtdt0dpphpe,190450000000
unicorn1q9u3rhjkdqd4d9jm4ncxj5fa37ngw7h8qk3d4h,53761000000
unicorn1q9aj3r93j7c8y2fjc2f8wejq4h3uvj85q67jr8,239128
unicorn1qxrrt3yh7jnc555y35u3a76acvvmecwza634du,5819000000
unicorn1qxxjuwe9ffn2x60279u8q3qdeyt4xyv3waxsh2,3050000000
unicorn1qxts5avx4cr55fm6mfz4xdtrq446wqxpx9jku6,637000000
unicorn1qxd6ge0dxa8fe8qzc4punqramqcq390t5r6arc,1690000000
unicorn1qxnqc24rtrk7njcauqjhqe5zqmpt05rem5lps4,100000000000
unicorn1qxnkm93q085tjjghgknjmnrv6rpy8985764gws,50000000000
unicorn1qxm0glxrkvsrxksmselmlzpt2ylt7h3kw78ghn,500000000
unicorn1qxaldjzzt7ujspdpkunuvrkwwsudjqv8wqk687,7350000000
unicorn1q8zdkx2s04fd69eqrlztxdu3jckc5nvdj9enwr,1000000
unicorn1q88ngdsk28kcquyp80q8wwgqmumexez8awuh0w,5001000000
unicorn1q8tezt5ruaf769vkump5lcqkg93nnjqqp5geye,1530000000
unicorn1q8t7ms8qx8lsr58cd9929ue48phelhnycktqd0,2767476604
unicorn1q8vqzsd2k3uyv9k8qyfpecldxgvc0uyx74l386,5100000000
unicorn1q8dx85awk92lxdp8qvdthpqfaajynnwm4f2sgu,29000000000
unicorn1q80fpx2essw7tgx75wd04vng8eth8l06nfvsp5,1140000000
unicorn1q8j6y59xuqn452txpmhknq2e8kud64ud3kzlzx,10000000
unicorn1q85jh8uflvxasl9z5qql5t8sutxmjww32tf4j9,6000000000
unicorn1q8kju0826dv44urq0q8gh9337hqxtav7z0aw6z,12000000
unicorn1q8m93auyyg3y9ha2ztjs0lsxu59guuxzm5fjm4,235000000
